,Unnamed: 0,language,infinitive,subject,answer,pt_mood,pt_tense,es_mood,es_tense,en_mood,en_tense
0,0,english,to register,I,register,indicativo,presente,indicativo,presente,indicative,present
1,1,english,to register,I,registered,indicativo,passado,indicativo,pasado,indicative,past
2,2,english,to register,I,will register,indicativo,futuro,indicativo,futuro,indicative,future
3,3,english,to register,you,register,indicativo,presente,indicativo,presente,indicative,present
4,4,english,to register,you,registered,indicativo,passado,indicativo,pasado,indicative,past
5,5,english,to register,you,will register,indicativo,futuro,indicativo,futuro,indicative,future
6,6,english,to register,he,registers,indicativo,presente,indicativo,presente,indicative,present
7,7,english,to register,she,registers,indicativo,presente,indicativo,presente,indicative,present
8,8,english,to register,he,registered,indicativo,passado,indicativo,pasado,indicative,past
9,9,english,to register,she,registered,indicativo,passado,indicativo,pasado,indicative,past
10,10,english,to register,he,will register,indicativo,futuro,indicativo,futuro,indicative,future
11,11,english,to register,she,will register,indicativo,futuro,indicativo,futuro,indicative,future
12,12,english,to register,we,register,indicativo,presente,indicativo,presente,indicative,present
13,13,english,to register,we,registered,indicativo,passado,indicativo,pasado,indicative,past
14,14,english,to register,we,will register,indicativo,futuro,indicativo,futuro,indicative,future
15,15,english,to register,you,register,indicativo,presente,indicativo,presente,indicative,present
16,16,english,to register,you,registered,indicativo,passado,indicativo,pasado,indicative,past
17,17,english,to register,you,will register,indicativo,futuro,indicativo,futuro,indicative,future
18,18,english,to register,they,register,indicativo,presente,indicativo,presente,indicative,present
19,19,english,to register,they,registered,indicativo,passado,indicativo,pasado,indicative,past
20,20,english,to register,they,will register,indicativo,futuro,indicativo,futuro,indicative,future
21,21,english,to register,I,have registered,perfeito,presente,perfecto,presente,perfect,present
22,22,english,to register,I,had registered,perfeito,passado,perfecto,pasado,perfect,past
23,23,english,to register,I,will have registered,perfeito,futuro,perfecto,futuro,perfect,future
24,24,english,to register,you,have registered,perfeito,presente,perfecto,presente,perfect,present
25,25,english,to register,you,had registered,perfeito,passado,perfecto,pasado,perfect,past
26,26,english,to register,you,will have registered,perfeito,futuro,perfecto,futuro,perfect,future
27,27,english,to register,he,has registered,perfeito,presente,perfecto,presente,perfect,present
28,28,english,to register,she,has registered,perfeito,presente,perfecto,presente,perfect,present
29,29,english,to register,he,had registered,perfeito,passado,perfecto,pasado,perfect,past
30,30,english,to register,she,had registered,perfeito,passado,perfecto,pasado,perfect,past
31,31,english,to register,he,will have registered,perfeito,futuro,perfecto,futuro,perfect,future
32,32,english,to register,she,will have registered,perfeito,futuro,perfecto,futuro,perfect,future
33,33,english,to register,we,have registered,perfeito,presente,perfecto,presente,perfect,present
34,34,english,to register,we,had registered,perfeito,passado,perfecto,pasado,perfect,past
35,35,english,to register,we,will have registered,perfeito,futuro,perfecto,futuro,perfect,future
36,36,english,to register,you,have registered,perfeito,presente,perfecto,presente,perfect,present
37,37,english,to register,you,had registered,perfeito,passado,perfecto,pasado,perfect,past
38,38,english,to register,you,will have registered,perfeito,futuro,perfecto,futuro,perfect,future
39,39,english,to register,they,have registered,perfeito,presente,perfecto,presente,perfect,present
40,40,english,to register,they,had registered,perfeito,passado,perfecto,pasado,perfect,past
41,41,english,to register,they,will have registered,perfeito,futuro,perfecto,futuro,perfect,future
42,42,english,to register,you,register,imperativo,afirmativo,imperativo,afirmativo,imperative,affirmative
43,43,english,to register,you,don't register,imperativo,negativo,imperativo,negativo,imperative,negative
44,44,english,to register,we,let's register,imperativo,afirmativo,imperativo,afirmativo,imperative,affirmative
45,45,english,to register,we,let's not register,imperativo,negativo,imperativo,negativo,imperative,negative
46,46,english,to register,you,register,imperativo,afirmativo,imperativo,afirmativo,imperative,affirmative
47,47,english,to register,you,don't register,imperativo,negativo,imperativo,negativo,imperative,negative
48,48,english,to register,I,am registering,contínuo,presente,continuo,presente,continuous,present
49,49,english,to register,I,was registering,contínuo,passado,continuo,pasado,continuous,past
50,50,english,to register,I,will be registering,contínuo,futuro,continuo,futuro,continuous,future
51,51,english,to register,you,are registering,contínuo,presente,continuo,presente,continuous,present
52,52,english,to register,you,were registering,contínuo,passado,continuo,pasado,continuous,past
53,53,english,to register,you,will be registering,contínuo,futuro,continuo,futuro,continuous,future
54,54,english,to register,he,is registering,contínuo,presente,continuo,presente,continuous,present
55,55,english,to register,she,is registering,contínuo,presente,continuo,presente,continuous,present
56,56,english,to register,he,was registering,contínuo,passado,continuo,pasado,continuous,past
57,57,english,to register,she,was registering,contínuo,passado,continuo,pasado,continuous,past
58,58,english,to register,he,will be registering,contínuo,futuro,continuo,futuro,continuous,future
59,59,english,to register,she,will be registering,contínuo,futuro,continuo,futuro,continuous,future
60,60,english,to register,we,are registering,contínuo,presente,continuo,presente,continuous,present
61,61,english,to register,we,were registering,contínuo,passado,continuo,pasado,continuous,past
62,62,english,to register,we,will be registering,contínuo,futuro,continuo,futuro,continuous,future
63,63,english,to register,you,are registering,contínuo,presente,continuo,presente,continuous,present
64,64,english,to register,you,were registering,contínuo,passado,continuo,pasado,continuous,past
65,65,english,to register,you,will be registering,contínuo,futuro,continuo,futuro,continuous,future
66,66,english,to register,they,are registering,contínuo,presente,continuo,presente,continuous,present
67,67,english,to register,they,were registering,contínuo,passado,continuo,pasado,continuous,past
68,68,english,to register,they,will be registering,contínuo,futuro,continuo,futuro,continuous,future
69,69,english,to register,I,have been registering,perfeito contínuo,presente,perfecto continuo,presente,perfect continuous,present
70,70,english,to register,I,had been registering,perfeito contínuo,passado,perfecto continuo,pasado,perfect continuous,past
71,71,english,to register,I,will have been registering,perfeito contínuo,futuro,perfecto continuo,futuro,perfect continuous,future
72,72,english,to register,you,have been registering,perfeito contínuo,presente,perfecto continuo,presente,perfect continuous,present
73,73,english,to register,you,had been registering,perfeito contínuo,passado,perfecto continuo,pasado,perfect continuous,past
74,74,english,to register,you,will have been registering,perfeito contínuo,futuro,perfecto continuo,futuro,perfect continuous,future
75,75,english,to register,he,has been registering,perfeito contínuo,presente,perfecto continuo,presente,perfect continuous,present
76,76,english,to register,she,has been registering,perfeito contínuo,presente,perfecto continuo,presente,perfect continuous,present
77,77,english,to register,he,had been registering,perfeito contínuo,passado,perfecto continuo,pasado,perfect continuous,past
78,78,english,to register,she,had been registering,perfeito contínuo,passado,perfecto continuo,pasado,perfect continuous,past
79,79,english,to register,he,will have been registering,perfeito contínuo,futuro,perfecto continuo,futuro,perfect continuous,future
80,80,english,to register,she,will have been registering,perfeito contínuo,futuro,perfecto continuo,futuro,perfect continuous,future
81,81,english,to register,we,have been registering,perfeito contínuo,presente,perfecto continuo,presente,perfect continuous,present
82,82,english,to register,we,had been registering,perfeito contínuo,passado,perfecto continuo,pasado,perfect continuous,past
83,83,english,to register,we,will have been registering,perfeito contínuo,futuro,perfecto continuo,futuro,perfect continuous,future
84,84,english,to register,you,have been registering,perfeito contínuo,presente,perfecto continuo,presente,perfect continuous,present
85,85,english,to register,you,had been registering,perfeito contínuo,passado,perfecto continuo,pasado,perfect continuous,past
86,86,english,to register,you,will have been registering,perfeito contínuo,futuro,perfecto continuo,futuro,perfect continuous,future
87,87,english,to register,they,have been registering,perfeito contínuo,presente,perfecto continuo,presente,perfect continuous,present
88,88,english,to register,they,had been registering,perfeito contínuo,passado,perfecto continuo,pasado,perfect continuous,past
89,89,english,to register,they,will have been registering,perfeito contínuo,futuro,perfecto continuo,futuro,perfect continuous,future
90,90,english,to champion,I,champion,indicativo,presente,indicativo,presente,indicative,present
91,91,english,to champion,I,championed,indicativo,passado,indicativo,pasado,indicative,past
92,92,english,to champion,I,will champion,indicativo,futuro,indicativo,futuro,indicative,future
93,93,english,to champion,you,champion,indicativo,presente,indicativo,presente,indicative,present
94,94,english,to champion,you,championed,indicativo,passado,indicativo,pasado,indicative,past
95,95,english,to champion,you,will champion,indicativo,futuro,indicativo,futuro,indicative,future
96,96,english,to champion,he,champions,indicativo,presente,indicativo,presente,indicative,present
97,97,english,to champion,she,champions,indicativo,presente,indicativo,presente,indicative,present
98,98,english,to champion,he,championed,indicativo,passado,indicativo,pasado,indicative,past
99,99,english,to champion,she,championed,indicativo,passado,indicativo,pasado,indicative,past
100,100,english,to champion,he,will champion,indicativo,futuro,indicativo,futuro,indicative,future
101,101,english,to champion,she,will champion,indicativo,futuro,indicativo,futuro,indicative,future
102,102,english,to champion,we,champion,indicativo,presente,indicativo,presente,indicative,present
103,103,english,to champion,we,championed,indicativo,passado,indicativo,pasado,indicative,past
104,104,english,to champion,we,will champion,indicativo,futuro,indicativo,futuro,indicative,future
105,105,english,to champion,you,champion,indicativo,presente,indicativo,presente,indicative,present
106,106,english,to champion,you,championed,indicativo,passado,indicativo,pasado,indicative,past
107,107,english,to champion,you,will champion,indicativo,futuro,indicativo,futuro,indicative,future
108,108,english,to champion,they,champion,indicativo,presente,indicativo,presente,indicative,present
109,109,english,to champion,they,championed,indicativo,passado,indicativo,pasado,indicative,past
110,110,english,to champion,they,will champion,indicativo,futuro,indicativo,futuro,indicative,future
111,111,english,to champion,I,have championed,perfeito,presente,perfecto,presente,perfect,present
112,112,english,to champion,I,had championed,perfeito,passado,perfecto,pasado,perfect,past
113,113,english,to champion,I,will have championed,perfeito,futuro,perfecto,futuro,perfect,future
114,114,english,to champion,you,have championed,perfeito,presente,perfecto,presente,perfect,present
115,115,english,to champion,you,had championed,perfeito,passado,perfecto,pasado,perfect,past
116,116,english,to champion,you,will have championed,perfeito,futuro,perfecto,futuro,perfect,future
117,117,english,to champion,he,has championed,perfeito,presente,perfecto,presente,perfect,present
118,118,english,to champion,she,has championed,perfeito,presente,perfecto,presente,perfect,present
119,119,english,to champion,he,had championed,perfeito,passado,perfecto,pasado,perfect,past
120,120,english,to champion,she,had championed,perfeito,passado,perfecto,pasado,perfect,past
121,121,english,to champion,he,will have championed,perfeito,futuro,perfecto,futuro,perfect,future
122,122,english,to champion,she,will have championed,perfeito,futuro,perfecto,futuro,perfect,future
