,Unnamed: 0,language,infinitive,subject,answer,kana,romaji,en_mood,en_tense,es_tense,pt_tense,es_mood,pt_mood
0,0,japanese,いる,,いる,いる,iru,normal,present,presente,presente,normal,normal
1,1,japanese,いる,,いない,いない,inai,normal,negative,negativo,negativo,normal,normal
2,2,japanese,いる,,いた,いた,ita,normal,past,pasado,passado,normal,normal
3,3,japanese,いる,,いなかった,いなかった,inakatta,normal,past negative,pasado negativo,passado negativo,normal,normal
4,4,japanese,いる,,いて,いて,ite,normal,て (te),て (te),て (te),normal,normal
5,5,japanese,いる,,いたい,いたい,itai,normal,たい (tai),たい (tai),たい (tai),normal,normal
6,6,japanese,いる,,いよう,いよう,iyou,normal,volitional,volitivo,volitivo,normal,normal
7,7,japanese,いる,,いろ,いろ,iro,normal,imperative,imperativo,imperativo,normal,normal
8,8,japanese,いる,,いられる,いられる,irareru,normal,passive,pasivo,passivo,normal,normal
9,9,japanese,いる,,いたら,いたら,itara,normal,conditional,condicional,condicional,normal,normal
10,10,japanese,いる,,いれば,いれば,ireba,normal,provisional conditional,condicional provisional,condicional provisional,normal,normal
11,11,japanese,いる,,いさせる,いさせる,isaseru,normal,causative,causativo,condicional,normal,normal
12,12,japanese,いる,,いられる,いられる,irareru,normal,potential,potencial,potencial,normal,normal
13,13,japanese,いる,,います,います,imasu,polite,present,presente,presente,educado,educado
14,14,japanese,いる,,いません,いません,imasen,polite,negative,negativo,negativo,educado,educado
15,15,japanese,いる,,いました,いました,imashita,polite,past,pasado,passado,educado,educado
16,16,japanese,いる,,いませんでした,いませんでした,imasendeshita,polite,past negative,pasado negativo,passado negativo,educado,educado
17,17,japanese,いる,,いまして,いまして,imashite,polite,て (te),て (te),て (te),educado,educado
18,18,japanese,いる,,いたいです,いたいです,itaidesu,polite,たい (tai),たい (tai),たい (tai),educado,educado
19,19,japanese,いる,,いましょう,いましょう,imashou,polite,volitional,volitivo,volitivo,educado,educado
20,20,japanese,いる,,いませ,いませ,imase,polite,imperative,imperativo,imperativo,educado,educado
21,21,japanese,いる,,いられます,いられます,iraremasu,polite,passive,pasivo,passivo,educado,educado
22,22,japanese,ある,,ある,ある,aru,normal,present,presente,presente,normal,normal
23,23,japanese,ある,,ない,ない,nai,normal,negative,negativo,negativo,normal,normal
24,24,japanese,ある,,あった,あった,atta,normal,past,pasado,passado,normal,normal
25,25,japanese,ある,,なかった,なかった,nakatta,normal,past negative,pasado negativo,passado negativo,normal,normal
26,26,japanese,ある,,あって,あって,atte,normal,て (te),て (te),て (te),normal,normal
27,27,japanese,ある,,ありたい,ありたい,aritai,normal,たい (tai),たい (tai),たい (tai),normal,normal
28,28,japanese,ある,,あろう,あろう,arou,normal,volitional,volitivo,volitivo,normal,normal
29,29,japanese,ある,,あい,あい,ai,normal,imperative,imperativo,imperativo,normal,normal
30,30,japanese,ある,,あられる,あられる,arareru,normal,passive,pasivo,passivo,normal,normal
31,31,japanese,ある,,あったら,あったら,attara,normal,conditional,condicional,condicional,normal,normal
32,32,japanese,ある,,あれば,あれば,areba,normal,provisional conditional,condicional provisional,condicional provisional,normal,normal
33,33,japanese,ある,,あらせる,あらせる,araseru,normal,causative,causativo,condicional,normal,normal
34,34,japanese,ある,,あり得る,ありうる,ariuru,normal,potential,potencial,potencial,normal,normal
35,35,japanese,ある,,あります,あります,arimasu,polite,present,presente,presente,educado,educado
36,36,japanese,ある,,ありません,ありません,arimasen,polite,negative,negativo,negativo,educado,educado
37,37,japanese,ある,,ありました,ありました,arimashita,polite,past,pasado,passado,educado,educado
38,38,japanese,ある,,ありませんでした,ありませんでした,arimasendeshita,polite,past negative,pasado negativo,passado negativo,educado,educado
39,39,japanese,ある,,ありまして,ありまして,arimashite,polite,て (te),て (te),て (te),educado,educado
